序号,用户昵称,评价时间,SKU,初评内容,追评内容,评论全文,评论长度
1,t**v,2026-01-16,V1S-G 单烟机,燃气灶和油烟机很不错，安转师傅态度很好，噪音小，推荐推荐,,燃气灶和油烟机很不错，安转师傅态度很好，噪音小，推荐推荐,28
2,m**晴,2025-12-16,V1S-G+03-TEK20-G(灰) 天然气套装,还没用，安装师傅很靠谱,,还没用，安装师傅很靠谱,11
3,包**卷,2025-12-22,V1S-G 单烟机,配送准时：很好 声音大小：还可以 10多年前第一套房子用的方太，到现在第四套房子一直都选的方太，从来没有任何问题。安装专业，热情仔细。虽然还没有装加长罩，也先还个图。非常好的烟机，颜值高，清洁方便 ,,配送准时：很好 声音大小：还可以 10多年前第一套房子用的方太，到现在第四套房子一直都选的方太，从来没有任何问题。安装专业，热情仔细。虽然还没有装加长罩，也先还个图。非常好的烟机，颜值高，清洁方便,98
4,匿名买家,2026-01-09,V1S-G 单烟机,送货师傅服务好，送货及时,,送货师傅服务好，送货及时,12
7,M**n,2025-12-11,V1S-G 单烟机,收到货了，快递员配送准时，送货上门，非常好,,收到货了，快递员配送准时，送货上门，非常好,21
9,满**池,2025-11-12,V1S-G 单烟机,非常不错，老房换个新油烟机，噪音也不大，很满意,,非常不错，老房换个新油烟机，噪音也不大，很满意,23
10,平**乐,2025-11-24,V1S-G 单烟机,非常好，安装工人也很负责，而且这款设备能接入米家,,非常好，安装工人也很负责，而且这款设备能接入米家,24
12,巷**=,2025-11-20,V1S-G 单烟机,还没通气 颜值很可以 ,,还没通气 颜值很可以,10
13,x**5,2026-01-11,V1S-G+03-TEK20-G(灰) 天然气套装,油烟机和煤气灶已收到，但家里还在装修中，暂时无法安装，等装了再来追评,,油烟机和煤气灶已收到，但家里还在装修中，暂时无法安装，等装了再来追评,34
15,张**生,2025-11-15,V1S-G+03-TEK20-G(灰) 天然气套装,送货师傅服务态度很好，咨询他问题会耐心解答，值得表扬，点个赞👍👍👍👍👍👍,,送货师傅服务态度很好，咨询他问题会耐心解答，值得表扬，点个赞👍👍👍👍👍👍,36
16,用**6,2025-10-29,V1S-G+03-TEK20-G 天然气套装,方太抽油机天然气灶颜值高，质量好，静音又抽烟，值得拥有,,方太抽油机天然气灶颜值高，质量好，静音又抽烟，值得拥有,27
17,h**v,2025-11-14,V1S-G 单烟机,很好用，风力很大。安装师傅上门安装拆旧换新，没有收费。服务很好。,,很好用，风力很大。安装师傅上门安装拆旧换新，没有收费。服务很好。,32
18,匿名买家,2025-12-14,V1S-G 单烟机,安装师傅态度好,,安装师傅态度好,7
19,匿名买家,2025-11-07,V1S-G 单烟机,是否易清洗：是的 声音大小：小 配送准时：准时 东西很好，是正品，下次继续购买 ,,是否易清洗：是的 声音大小：小 配送准时：准时 东西很好，是正品，下次继续购买,39
20,我**丽,2025-10-27,V1S-G 28m³·min 星空灰色,物流速度，师傅安装快捷，大牌信得过，方太产品老百姓的家庭首选，赞赞赞,,物流速度，师傅安装快捷，大牌信得过，方太产品老百姓的家庭首选，赞赞赞,34
21,焦**8,2025-12-08,V1S-G 单烟机,相信方太的专业,,相信方太的专业,7
22,#**开,2025-11-04,V1S-G+02-TE21 天然气套装,用了两次吸烟效果挺好的，肉眼可见的没跑烟，比我之前的好太多了，安装师傅也很专业，装完后还给我灶台擦得干干净净,,用了两次吸烟效果挺好的，肉眼可见的没跑烟，比我之前的好太多了，安装师傅也很专业，装完后还给我灶台擦得干干净净,54
23,匿名买家,2025-11-19,V1S-G 单烟机,烟机还不错，使用清洗很方便,,烟机还不错，使用清洗很方便,13
24,玮***,2025-11-18,V1S-G 单烟机,买到喜欢的油烟机太棒了，感谢客服不厌其烦的为我服务。这一套使用下来得心应手。,,买到喜欢的油烟机太棒了，感谢客服不厌其烦的为我服务。这一套使用下来得心应手。,38
25,女**),2025-11-15,V1S-G+03-TEK20-G(灰) 天然气套装,安装师傅按的非常好，态度好。,,安装师傅按的非常好，态度好。,14
26,不**代,2025-11-06,V1S-G 单烟机,物流很快，宝贝高端大气上档次，师傅安装很熟练，运转平稳，声音不大，容易清洗,,物流很快，宝贝高端大气上档次，师傅安装很熟练，运转平稳，声音不大，容易清洗,37
27,洗**王,2025-12-06,V1S-G 单烟机,安装师傅专业,,安装师傅专业,6
28,匿名买家,2025-11-13,V1S-G+03-TEK20-G(灰) 天然气套装,客服服务态度好，物流给力，退差价良心商家,,客服服务态度好，物流给力，退差价良心商家,20
29,r**g,2025-11-21,V1S-G 单烟机,选了三个月，还请小哥哥上门帮看尺寸，做好所有下的单，好用，操作简便，清洗简单易行，风力足够，好用好用,,选了三个月，还请小哥哥上门帮看尺寸，做好所有下的单，好用，操作简便，清洗简单易行，风力足够，好用好用,50
30,树**猫,2025-11-02,V1S-G 单烟机,安装师傅很负责，防火止逆阀安装的非常仔细。,,安装师傅很负责，防火止逆阀安装的非常仔细。,21
31,c**i,2025-10-12,V1S-G 顶侧一体 灰色【热销】,外观漂亮，配送很快，安装师傅也很及时安装，简单好清洗,,外观漂亮，配送很快，安装师傅也很及时安装，简单好清洗,26
33,用**4,2025-11-04,V1S-G+03-TEK20(黑) 天然气套装,方太值得信赖，质量不错,,方太值得信赖，质量不错,11
34,我**星,2025-11-21,V1S-G+02-TE21 天然气套装,物流挺快的，送货上门,,物流挺快的，送货上门,10
35,小**e,2025-11-09,V1S-G+03-TEK20-G(灰) 天然气套装,师傅按时送到,,师傅按时送到,6
37,正**角,2025-09-30,V1S-G 28m³·min 星空灰色,观望了很久入手入手了这款烟机灶，外观大气百搭，性能也不错，性价比很棒。,,观望了很久入手入手了这款烟机灶，外观大气百搭，性能也不错，性价比很棒。,35
39,。**。,2025-09-30,V1S-G 顶侧一体 灰色【热销】,外观不错，还没入住使用不知道效果。提醒已经做好柜子的亲注意下，这个机器上边的烟管没在中间 是偏的。,,外观不错，还没入住使用不知道效果。提醒已经做好柜子的亲注意下，这个机器上边的烟管没在中间 是偏的。,49
40,可**滴,2025-10-20,V1S-G 单烟机,好👌评！值得信赖的大品牌！,,好👌评！值得信赖的大品牌！,13
42,h**y,2025-12-16,V1S-G 单烟机,感觉不错！,,感觉不错！,5
43,宇**油,2025-09-27,V1S-G 顶侧一体 灰色【热销】,方太的服务太好了  安装师傅也专业  油烟机和热水器一起安装  非常专业 推荐大家选方太,真是 太好了 ,方太的服务太好了  安装师傅也专业  油烟机和热水器一起安装  非常专业 推荐大家选方太 真是 太好了,51
44,i**n,2025-09-10,28m³·min 星空灰色 热卖V1S-G,方太的服务从客服到按装都非常好！ 配送准时：按时 是否易清洗：是 声音大小：通过 ,,方太的服务从客服到按装都非常好！ 配送准时：按时 是否易清洗：是 声音大小：通过,40
46,痒**树,2025-10-24,V1S-G 单烟机,用着挺好，音量小，风量大,,用着挺好，音量小，风量大,12
47,长**烈,2025-11-04,V1S-G 单烟机,安装售后师傅棒棒哒！,,安装售后师傅棒棒哒！,10
48,T**3,2025-09-21,28m³·min 星空灰色 热卖V1S-G,油烟机吸力大满意，购买过程有波折，但完美解决，感谢！,,油烟机吸力大满意，购买过程有波折，但完美解决，感谢！,26
49,茂**福,2025-10-18,V1S-G 顶侧一体 灰色【热销】,配送准时：安装师傅快很专业，态度特别好,,配送准时：安装师傅快很专业，态度特别好,19
50,匿名买家,2025-10-29,V1S-G+03-TEK20-G 天然气套装,很好，服务也好,,很好，服务也好,7
51,我**0,2025-10-04,V1S-G 顶侧一体 灰色【热销】,师傅安装即使，态度好，安装完成了还很耐心讲解了怎么使用,,师傅安装即使，态度好，安装完成了还很耐心讲解了怎么使用,27
52,t**v,2025-09-03,V1S-G 28m³·min 星空灰色,购买过程非常愉快，由于房子还未装修出来，又想赶上 618 活动，和商家沟通延迟发货，愉快的帮忙解决了，赞赞赞,,购买过程非常愉快，由于房子还未装修出来，又想赶上 618 活动，和商家沟通延迟发货，愉快的帮忙解决了，赞赞赞,54
54,空**6,2025-10-02,V1S-G 顶侧一体 灰色【热销】,吸力超强，炒菜不用走有油烟味，用中档或者弱档风就行。也很小巧精致。,,吸力超强，炒菜不用走有油烟味，用中档或者弱档风就行。也很小巧精致。,33
56,匿名买家,2025-08-30,V1S-G 28m³·min 星空灰色,是否易清洗：很容易卸下来清洗🧽 声音大小：适中 配送准时：配送准时，安装顺利,,是否易清洗：很容易卸下来清洗🧽 声音大小：适中 配送准时：配送准时，安装顺利,38
57,么**兔,2025-08-29,28m³·min 星空灰色 带其它配件,烟灶联动还是挺不错的，一开火自动抽油烟，或者挥手感应开关，感觉挺牛。吸烟效果还不知道，待后期使用看效果。,,烟灶联动还是挺不错的，一开火自动抽油烟，或者挥手感应开关，感觉挺牛。吸烟效果还不知道，待后期使用看效果。,52
58,借**a,2025-08-21,V1S-G 28m³·min 星空灰色,还没开始打柜子，所以还没有安装，先上个图吧,,还没开始打柜子，所以还没有安装，先上个图吧,21
59,M**6,2025-09-11,28m³·min 星空灰色 热卖V1S-G,配送服务非常好，物流超级快,,配送服务非常好，物流超级快,13
60,匿名买家,2025-08-21,28m³·min 星空灰色 带其它配件,很不错，做了很多功课最后选了这款。和我原来的橱柜还是比较匹配的！柜子本来就比较薄，这款的话深度还不错～最重要吸力大。 客服小当服务态度好，非常仔细和耐心，有问必答，从选购到预约安装都提供了相应的帮助和建议。沟通顺畅～ 安装师傅也很棒，年纪不大但干活非常利落，三下五除二就搞定了。当场开火和检查是否漏气问题，服务到位，安全放心。 非常满意的购物体验。,,很不错，做了很多功课最后选了这款。和我原来的橱柜还是比较匹配的！柜子本来就比较薄，这款的话深度还不错～最重要吸力大。 客服小当服务态度好，非常仔细和耐心，有问必答，从选购到预约安装都提供了相应的帮助和建议。沟通顺畅～ 安装师傅也很棒，年纪不大但干活非常利落，三下五除二就搞定了。当场开火和检查是否漏气问题，服务到位，安全放心。 非常满意的购物体验。,174
62,y**3,2025-08-15,V1S-G 28m³·min 星空灰色,配送准时：很好，期待安装 ,,配送准时：很好，期待安装,12
63,啊**！,2025-08-24,V1S-G 28m³·min 星空灰色,厨房电器全部方太，好！,,厨房电器全部方太，好！,11
66,t**s,2025-08-17,28m³·min 星空灰色 带其它配件,方太服务一流，质量一流，买的放心用的满意！值得拥有值得信赖！,,方太服务一流，质量一流，买的放心用的满意！值得拥有值得信赖！,30
69,爱**希,2025-08-17,28m³·min 星空灰色 带其它配件,抽烟机说是高端产品，大风量静音，实际上我炒辣椒是能闻到辣椒还呛到我了，而且噪音挺大，燃气灶非常好用，开锅快，能定时，特别省事,,抽烟机说是高端产品，大风量静音，实际上我炒辣椒是能闻到辣椒还呛到我了，而且噪音挺大，燃气灶非常好用，开锅快，能定时，特别省事,62
70,卡***,2025-09-20,V1S-G 顶侧一体 灰色【热销】,配送准时：物流很快,,配送准时：物流很快,9
72,烦**泡,2025-09-11,28m³·min 星空灰色 热卖V1S-G,师傅服务很好,,师傅服务很好,6
74,匿名买家,2025-08-25,V1S-G 28m³·min 星空灰色,大品牌放心，已收货,,大品牌放心，已收货,9
75,依**饰,2025-08-16,28m³·min 星空灰色 带其它配件,收到货好几天了，由于装修还没搞好，还没安装，看上去很高档上档次，安装后再追评，希望装后都十分满意,,收到货好几天了，由于装修还没搞好，还没安装，看上去很高档上档次，安装后再追评，希望装后都十分满意,48
78,c**3,2025-07-19,V1S-G 28m³·min 星空灰色,小哥： 配送准时。服务热情。,买了三个月了，还没来得及装。喜欢这个品牌。,小哥： 配送准时。服务热情。 买了三个月了，还没来得及装。喜欢这个品牌。,36
79,匿名买家,2025-07-29,28m³·min 星空灰色 带其它配件,到的很快，安装也很好,吸力很大，挥手开关很方便，非常好用,到的很快，安装也很好 吸力很大，挥手开关很方便，非常好用,28
88,匿名买家,2026-01-22,V1S-G 单烟机,安装的时候会有缝，但是有方太的可调节挂钩可以买，我觉得就是在变相收钱，按理说安装的配件现在哪家产品不是在考虑怎么效果更好，他们倒是有效果好的方案，但是你得掏钱。我们花钱买了他们的产品，然后安装要达到买它的效果还得另外加钱。吃相难看。油烟机现在还没用，还不清楚具体的使用情况，但是第一关安装上就已经大跌眼镜了,方太客服很快有联系反馈，态度还是很好的，也给了一个补偿方案，补了一个赠品。并表示后续对于这个可调节挂钩的费用会和公司反馈。虽然刚开始挺生气的，但是他们的快速反馈让我觉得他们的服务很好，也愿意有改进。所以期待后续使用的体验啦！,安装的时候会有缝，但是有方太的可调节挂钩可以买，我觉得就是在变相收钱，按理说安装的配件现在哪家产品不是在考虑怎么效果更好，他们倒是有效果好的方案，但是你得掏钱。我们花钱买了他们的产品，然后安装要达到买它的效果还得另外加钱。吃相难看。油烟机现在还没用，还不清楚具体的使用情况，但是第一关安装上就已经大跌眼镜了 方太客服很快有联系反馈，态度还是很好的，也给了一个补偿方案，补了一个赠品。并表示后续对于这个可调节挂钩的费用会和公司反馈。虽然刚开始挺生气的，但是他们的快速反馈让我觉得他们的服务很好，也愿意有改进。所以期待后续使用的体验啦！,266
89,匿名买家,2026-01-12,V1S-G 单烟机,安装的时候打孔都打歪了，又重新打的，可怜了我新房的新瓷砖。也还没有试货，不知道咋样,后续已经解决问题,安装的时候打孔都打歪了，又重新打的，可怜了我新房的新瓷砖。也还没有试货，不知道咋样 后续已经解决问题,50
90,赵**乐,2025-12-22,V1S-G 单烟机,服务没的说,,服务没的说,5
92,匿名买家,2025-11-07,V1S-G 单烟机,触屏区反应实在是太慢了，点半天也没反应。,后面客服解决了，手指往下压一点屏幕就感应到了。,触屏区反应实在是太慢了，点半天也没反应。 后面客服解决了，手指往下压一点屏幕就感应到了。,44
96,别**5,2025-10-10,V1S-G 顶侧一体 灰色【热销】,刚拍完就降价了，还没有保价服务，买贵必配就一天。呵,装上去了，补贴了话费。😂,刚拍完就降价了，还没有保价服务，买贵必配就一天。呵 装上去了，补贴了话费。😂,38
98,t**e,2025-08-20,28m³·min 星空灰色 带其它配件,不会碰到产品吧？有破损我需退回谢谢,,不会碰到产品吧？有破损我需退回谢谢,17
100,嗳**琛,2025-09-22,28m³·min 星空灰色 热卖V1S-G,止逆阀需要单独买，买他们的止逆阀没有安装费，买别家的止逆阀，需要单独付50的安装费，真够恶心的,,止逆阀需要单独买，买他们的止逆阀没有安装费，买别家的止逆阀，需要单独付50的安装费，真够恶心的,47
101,糊***,2025-04-26,V1S-G 28m³·min 星空灰色,是否易清洗：易清洗、声音还可以  ,,是否易清洗：易清洗、声音还可以,15
102,多**吉,2025-03-14,V1S-G 28m³·min 星空灰色,种草很久了，颜值高，性能好，前阵子灶具换了te21，这次趁着活动索性把烟机也换了。 另外向售后代萌表达一下歉意，烟机发货后物流单号没有同步到系统里让我误以为没发货。找售后代萌反应问题时态度不佳，措辞过分。代萌一直秉持着耐心和专心的态度给我答疑解惑。为她的耐心表示感谢，为我的鲁莽再次表达歉意。,,种草很久了，颜值高，性能好，前阵子灶具换了te21，这次趁着活动索性把烟机也换了。 另外向售后代萌表达一下歉意，烟机发货后物流单号没有同步到系统里让我误以为没发货。找售后代萌反应问题时态度不佳，措辞过分。代萌一直秉持着耐心和专心的态度给我答疑解惑。为她的耐心表示感谢，为我的鲁莽再次表达歉意。,146
103,匿名买家,2025-07-15,V1S-G 28m³·min 星空灰色,颜值很高的抽油烟机～,,颜值很高的抽油烟机～,10
105,费**n,2025-08-07,28m³·min 星空灰色 带其它配件,真消费真评价！！！平常买的价格竟然要比88会员节便宜，谁能想到呢，你们不做活动，在活动期间调高价格，我也是第一次见，是想趁活动割韭菜吗？不知道在高贵什么？,,真消费真评价！！！平常买的价格竟然要比88会员节便宜，谁能想到呢，你们不做活动，在活动期间调高价格，我也是第一次见，是想趁活动割韭菜吗？不知道在高贵什么？,77
107,匿名买家,2025-07-26,V1S-G 28m³·min 星空灰色,做功课买的v1➕te20，颜值太高了，挥手开关机，烟灶联动，声音完全能接受，超满意,,做功课买的v1➕te20，颜值太高了，挥手开关机，烟灶联动，声音完全能接受，超满意,41
109,上**会,2024-11-12,V1S-G 28m³·min 星空灰色,我就是单纯的领个礼物…后续再补刀吧,,我就是单纯的领个礼物…后续再补刀吧,17
110,T**7,2025-03-24,V1S-G 28m³·min 星空灰色,新房还未装修好，期待安装效果,,新房还未装修好，期待安装效果,14
111,何**蛋,2025-05-30,V1S-G 28m³·min 星空灰色,配送准时:厨房买的都是方太，大品牌有保 障，高档大气上档次，发货快，物流快，服务 好，颜值高，使用方便，怎么看都喜欢!,,配送准时:厨房买的都是方太，大品牌有保 障，高档大气上档次，发货快，物流快，服务 好，颜值高，使用方便，怎么看都喜欢!,59
112,爱**绵,2025-06-03,V1S-G 28m³·min 星空灰色,产品非常好，非常好看，方太大品牌值得信任物流非常快就近发货第二天就到了。很好 很满意。师傅安装也很快！,,产品非常好，非常好看，方太大品牌值得信任物流非常快就近发货第二天就到了。很好 很满意。师傅安装也很快！,51
113,t**d,2025-04-20,V1S-G 28m³·min 星空灰色,安装很快吸油很好 配送准时准时到达，我是给新家买的，客服都非常棒，有问必答，开心，等以后入住再来追评 ,,安装很快吸油很好 配送准时准时到达，我是给新家买的，客服都非常棒，有问必答，开心，等以后入住再来追评,50
114,匿名买家,2025-06-19,V1S-G 28m³·min 星空灰色,看着很不错，家里还没有装修完，暂时没有安装，等安装之后过来反馈一下效果,,看着很不错，家里还没有装修完，暂时没有安装，等安装之后过来反馈一下效果,35
117,美**豬,2025-05-21,V1S-G 28m³·min 星空灰色,已经是第2次购买他家的，声音真的大，希望能耐用,,已经是第2次购买他家的，声音真的大，希望能耐用,23
118,北**7,2025-02-15,V1S-G 28m³·min 星空灰色,油烟机用了一段时间了，使用效果很好，吸力大，颜值高，很喜欢的一款油烟机,,油烟机用了一段时间了，使用效果很好，吸力大，颜值高，很喜欢的一款油烟机,35
119,元**圆,2025-05-22,V1S-G 28m³·min 星空灰色,家里之前的油烟机不好用，吸力不行，厨房到处都是油烟，一直想换成方太的，关注了一段时间，很纠结买F5还是V1s，客服小姐姐积极帮我约了师傅上门检查，才让我下单的，我是看中了V1s与我家的柜子平齐而且吸力大，烟灶联动，干脆我就把燃气灶也换了，家里老人使用起来也很方便。安装师傅很专业，方太真的很不错！！！,,家里之前的油烟机不好用，吸力不行，厨房到处都是油烟，一直想换成方太的，关注了一段时间，很纠结买F5还是V1s，客服小姐姐积极帮我约了师傅上门检查，才让我下单的，我是看中了V1s与我家的柜子平齐而且吸力大，烟灶联动，干脆我就把燃气灶也换了，家里老人使用起来也很方便。安装师傅很专业，方太真的很不错！！！,150
122,匿名买家,2025-03-29,V1S-G 28m³·min 星空灰色,油烟机很好看，买的灶台联动的，反应灵敏，特别符合我的需求。挥手感应功能也很好用。 客服八宝沟通很流畅，每次有疑问都能及时很好的帮我处理非常好。 方太安装的师父很专业，态度很好。有什么收费都会说的很清楚。,,油烟机很好看，买的灶台联动的，反应灵敏，特别符合我的需求。挥手感应功能也很好用。 客服八宝沟通很流畅，每次有疑问都能及时很好的帮我处理非常好。 方太安装的师父很专业，态度很好。有什么收费都会说的很清楚。,101
123,匿名买家,2025-07-11,V1S-G 28m³·min 星空灰色,看不挺不错，方太一直值得信赖，因为相信，所以选择。,,看不挺不错，方太一直值得信赖，因为相信，所以选择。,25
124,匿名买家,2025-07-03,V1S-G 28m³·min 星空灰色,厨房四件套，未安装,,厨房四件套，未安装,9
125,可**。,2024-11-12,V1S-G 28m³·min 星空灰色,声音大小：不错 是否易清洗：清洗方便 ,,声音大小：不错 是否易清洗：清洗方便,18
126,米**饭,2025-05-27,V1S-G 28m³·min 星空灰色,还行吧，炒菜后味小多了。,,还行吧，炒菜后味小多了。,12
128,匿名买家,2025-07-02,V1S-G 28m³·min 星空灰色,方太这款新的顶侧一体油烟机吸力大，效果非常不错,,方太这款新的顶侧一体油烟机吸力大，效果非常不错,23
129,张**2,2025-06-02,V1S-G 28m³·min 星空灰色,非常大气，油烟没有，声音很小,,非常大气，油烟没有，声音很小,14
130,t**3,2025-07-01,V1S-G 28m³·min 星空灰色,美观大气，客服服务好，安装师傅也细心，满意的购物,,美观大气，客服服务好，安装师傅也细心，满意的购物,24
131,k**i,2025-07-09,V1S-G 28m³·min 星空灰色,厨房大件要被方太承包了 油烟机 洗碗机 炉灶 。对比多家 还是选择方太 线上线下都看过了 选择了这款 期待后续的使用,,厨房大件要被方太承包了 油烟机 洗碗机 炉灶 。对比多家 还是选择方太 线上线下都看过了 选择了这款 期待后续的使用,58
132,匿名买家,2025-07-06,V1S-G 28m³·min 星空灰色,支持方太！喜欢每一个客服，当然最喜欢我们小猪🐷了嘻嘻！以后的家还是会买方太的。,,支持方太！喜欢每一个客服，当然最喜欢我们小猪🐷了嘻嘻！以后的家还是会买方太的。,39
135,用**5,2025-04-14,V1S-G 28m³·min 星空灰色,还行吧，使用看看,,还行吧，使用看看,8
137,用**4,2025-07-25,V1S-G 28m³·min 星空灰色,还没安装，不过之前一直用方太，这次继续用。,,还没安装，不过之前一直用方太，这次继续用。,21
139,哇**o,2025-08-04,V1S-G 28m³·min 星空灰色,宝贝已收到，只是我未装修好，未折质量不清楚，等安装时再来评。,,宝贝已收到，只是我未装修好，未折质量不清楚，等安装时再来评。,30
141,小**燚,2025-07-23,V1S-G 28m³·min 星空灰色,配送准时：今天油烟机安装完成，必须夸夸这波操作！师傅手艺超赞，油烟机完美嵌入橱柜预留位置，严丝合缝视觉上清爽又利落，完全没破坏厨房整体的装修风格～ 试机的时候更惊喜，风力足得很。这安装效果和使用体验都满分，以后做饭再也不用担心油烟问题啦！ ,,配送准时：今天油烟机安装完成，必须夸夸这波操作！师傅手艺超赞，油烟机完美嵌入橱柜预留位置，严丝合缝视觉上清爽又利落，完全没破坏厨房整体的装修风格～ 试机的时候更惊喜，风力足得很。这安装效果和使用体验都满分，以后做饭再也不用担心油烟问题啦！,119
142,地**奶,2025-02-26,V1S-G 28m³·min 星空灰色,在网上很认真挑选，对比各种品牌，还是选择了方太，这个新品颜值真的很高，不是直角造型的顶侧双吸。我家是拆旧换新，在不是定制橱柜的基础下，也能真的做到贴合嵌进去，再也不怕油烟机撞头了，很赞！吸力很好，炒菜不是爆炒的情况下，厨房不关门也可以做到油烟味很小。拆洗清洗也很方便，金属网格很方便就能拿下来。喜欢喜欢！,,在网上很认真挑选，对比各种品牌，还是选择了方太，这个新品颜值真的很高，不是直角造型的顶侧双吸。我家是拆旧换新，在不是定制橱柜的基础下，也能真的做到贴合嵌进去，再也不怕油烟机撞头了，很赞！吸力很好，炒菜不是爆炒的情况下，厨房不关门也可以做到油烟味很小。拆洗清洗也很方便，金属网格很方便就能拿下来。喜欢喜欢！,152
143,一**小,2025-03-31,V1S-G 28m³·min 星空灰色,这就是方太大品牌最新款，你们敢想花了四千买回来的装上去是这个样子，巨丑，反正我是接受不了。柜子上面全是螺丝，去问客服，客服说产品就是这样的，油烟机另外的壳子还要再花350块钱买，说详情页里写了这一条，我翻到详情页最下面找到了，真下头，购物体验感为零。十年前我购买了方太的油烟机，燃气灶，今年三月份全套换新，也算是方太的老用户了，来这一套，大无语，购买的时候请大家多多留意吧，一般不会给差评，这次真是气笑了。安装的师傅人挺好的，跑了几次，这次购物体验就这吧,右边这个是我十年前的旧油烟机，买回来都是整套的，现在吃相太难看了吧，拆开来卖，先买了油烟机，在给你说另外买壳子，店大了不起，消费者就这样被你们牵着鼻子走？天天整这些花里胡哨的玩意，套路真多,这就是方太大品牌最新款，你们敢想花了四千买回来的装上去是这个样子，巨丑，反正我是接受不了。柜子上面全是螺丝，去问客服，客服说产品就是这样的，油烟机另外的壳子还要再花350块钱买，说详情页里写了这一条，我翻到详情页最下面找到了，真下头，购物体验感为零。十年前我购买了方太的油烟机，燃气灶，今年三月份全套换新，也算是方太的老用户了，来这一套，大无语，购买的时候请大家多多留意吧，一般不会给差评，这次真是气笑了。安装的师傅人挺好的，跑了几次，这次购物体验就这吧 右边这个是我十年前的旧油烟机，买回来都是整套的，现在吃相太难看了吧，拆开来卖，先买了油烟机，在给你说另外买壳子，店大了不起，消费者就这样被你们牵着鼻子走？天天整这些花里胡哨的玩意，套路真多,322
144,匿名买家,2025-05-09,V1S-G 28m³·min 星空灰色,客服太差 很多已读不回,,客服太差 很多已读不回,11
145,d**y,2024-12-13,V1S-G 28m³·min 星空灰色,等待安装好再评价,,等待安装好再评价,8
146,S**r,2025-06-29,V1S-G 28m³·min 星空灰色,东西收到了 包装很结实  房子还没装完  等装完了安装好在追评,,东西收到了 包装很结实  房子还没装完  等装完了安装好在追评,31
