序号,用户昵称,评价时间,SKU,初评内容,追评内容,评论全文,评论长度
147,R**a,2025-07-21,V1S-G 28m³·min 星空灰色,方太大品牌，信得过！烟机很漂亮，价格实惠，到货很快。客服很专业，超耐心，有问题都能帮忙解决。使用后再来追评。,,方太大品牌，信得过！烟机很漂亮，价格实惠，到货很快。客服很专业，超耐心，有问题都能帮忙解决。使用后再来追评。,54
148,花**开,2025-07-11,V1S-G 28m³·min 星空灰色,油烟机方太第一☝🏻认准方太售前售后安装都没有问题，专业品牌，认准方太😀,油烟机认准方太，售后安装放心无忧😀,油烟机方太第一☝🏻认准方太售前售后安装都没有问题，专业品牌，认准方太😀 油烟机认准方太，售后安装放心无忧😀,53
150,乍**皮,2025-07-13,V1S-G 28m³·min 星空灰色,声音大小：小 是否易清洗：好清洁 配送准时：是的 很给力 ,,声音大小：小 是否易清洗：好清洁 配送准时：是的 很给力,28
152,T**7,2025-06-18,V1S-G 28m³·min 星空灰色,颜值很高，服务体验很好！,,颜值很高，服务体验很好！,12
153,我**喔,2025-07-21,V1S-G 28m³·min 星空灰色,安装师傅很专业！新家装修还没用，安装好之后使用了一下，看着很高大上！,,安装师傅很专业！新家装修还没用，安装好之后使用了一下，看着很高大上！,34
155,T**2,2025-07-25,V1S-G 28m³·min 星空灰色, 方太 V1S吸力强劲（28m³/min），日常爆炒基本不跑烟，开放式厨房也能胜任。挥手智控开关机和调档非常灵敏方便，解放双手。云板设计拢烟效果好，一体成型内腔清洁起来相对省力。噪音控制中规中矩，高档位风声明显但可接受。外观简约大气，百搭厨房。总体是一款性能可靠、操作智能、清洁便利的高端侧吸式油烟机。  ,,方太 V1S吸力强劲（28m³/min），日常爆炒基本不跑烟，开放式厨房也能胜任。挥手智控开关机和调档非常灵敏方便，解放双手。云板设计拢烟效果好，一体成型内腔清洁起来相对省力。噪音控制中规中矩，高档位风声明显但可接受。外观简约大气，百搭厨房。总体是一款性能可靠、操作智能、清洁便利的高端侧吸式油烟机。,150
159,四**账,2025-06-16,V1S-G 28m³·min 星空灰色,发货准时，物流快，由于我没在家，还帮我保管，感谢！,,发货准时，物流快，由于我没在家，还帮我保管，感谢！,25
160,点**e,2025-03-18,V1S-G 28m³·min 星空灰色,颜值很高，吸力够大，烧菜几乎闻不到菜味，面板易洁，工作声音在可接受范围内，深灰和黑色灶台还是蛮搭的。,,颜值很高，吸力够大，烧菜几乎闻不到菜味，面板易洁，工作声音在可接受范围内，深灰和黑色灶台还是蛮搭的。,50
161,年**1,2025-02-20,V1S-G 28m³·min 星空灰色,是否易清洗：容易清洗，吸力强劲  声音大小：声音大小还可以，可以接受 配送准时：配送准时，安装专业，做工细致 ,,是否易清洗：容易清洗，吸力强劲  声音大小：声音大小还可以，可以接受 配送准时：配送准时，安装专业，做工细致,54
162,匿名买家,2025-07-01,V1S-G 28m³·min 星空灰色,高级货，加国补更划算！,,高级货，加国补更划算！,11
164,用**4,2025-05-07,V1S-G 28m³·min 星空灰色,油烟机配送准时，安装师傅技术很好非常满意,,油烟机配送准时，安装师傅技术很好非常满意,20
166,q**5,2025-07-16,V1S-G 28m³·min 星空灰色,东西不错 看着高大上,,东西不错 看着高大上,10
168,无**品,2025-05-16,V1S-G 28m³·min 星空灰色,太恶心了，才买几天就降价几百块，这让我们消费者还怎么买东西，要不是安装了，早退回给你们了。,经过和售后小姐姐的沟通交流，发现原来是有些误会，现已基本解决。作为方太的老用户，方太烟机的品质有一说一是值得肯定的，大家可放心够买。,太恶心了，才买几天就降价几百块，这让我们消费者还怎么买东西，要不是安装了，早退回给你们了。 经过和售后小姐姐的沟通交流，发现原来是有些误会，现已基本解决。作为方太的老用户，方太烟机的品质有一说一是值得肯定的，大家可放心够买。,112
171,z**6,2025-04-22,V1S-G 28m³·min 星空灰色,配送准时：送达及时 安装便捷。 ,,配送准时：送达及时 安装便捷。,15
172,匿名买家,2025-06-08,V1S-G 28m³·min 星空灰色,造型简约美观，手挥启动挺好，风力强劲，各方面都不错🤓 ,,造型简约美观，手挥启动挺好，风力强劲，各方面都不错🤓,26
173,小**嘟,2025-07-16,V1S-G 28m³·min 星空灰色,配送准时：收到货了还没安装先给个五星好评吧，快递很给力这么热的天，给快递小哥点个赞👍👍👍 ,,配送准时：收到货了还没安装先给个五星好评吧，快递很给力这么热的天，给快递小哥点个赞👍👍👍,44
174,用**9,2025-06-22,V1S-G 28m³·min 星空灰色,服务很好，还没安装,,服务很好，还没安装,9
175,腹**果,2025-05-23,V1S-G 28m³·min 星空灰色,上一代也是用方太，方太品质很不错，油烟机老款会碰头，在和老板油烟机，美的等对比后。这款解决了这个问题，同时价格在国补下特别的美丽，这款吸力大，而且附带自动调节功能，家里的厨房相对比较暗，油烟机自带的灯非常的弥补这个缺点，同时还能连接wifi平时可以设置定时使用开关。特别方便,,上一代也是用方太，方太品质很不错，油烟机老款会碰头，在和老板油烟机，美的等对比后。这款解决了这个问题，同时价格在国补下特别的美丽，这款吸力大，而且附带自动调节功能，家里的厨房相对比较暗，油烟机自带的灯非常的弥补这个缺点，同时还能连接wifi平时可以设置定时使用开关。特别方便,137
176,艺**牛,2025-03-07,V1S-G 28m³·min 星空灰色,声音大小：自动强档声音比较大，中档还行。 配送准时：派送及时，隔天就送到。 ,,声音大小：自动强档声音比较大，中档还行。 配送准时：派送及时，隔天就送到。,37
177,m**1,2025-03-09,V1S-G 28m³·min 星空灰色,安装师傅很棒，方太小区也很棒,,安装师傅很棒，方太小区也很棒,14
179,匿名买家,2025-06-04,V1S-G 28m³·min 星空灰色,油烟机和燃气灶一起买的，很好看也很好用，推荐购买,,油烟机和燃气灶一起买的，很好看也很好用，推荐购买,24
180,，**，,2025-05-19,V1S-G 28m³·min 星空灰色,方太大品牌，值得拥有，新家还在装修，迫不及待购齐厨房套装，期待方太厨房的表现！,,方太大品牌，值得拥有，新家还在装修，迫不及待购齐厨房套装，期待方太厨房的表现！,39
182,匿名买家,2025-06-03,V1S-G 28m³·min 星空灰色,防干烧功能特别棒，不用担心忘记关火烧锅了，火力足，颜值高，推荐 ,,防干烧功能特别棒，不用担心忘记关火烧锅了，火力足，颜值高，推荐,31
183,匿名买家,2025-03-19,V1S-G 28m³·min 星空灰色,看了很久  还是决定老品牌  订了四大件   还未开箱  期待安装,,看了很久  还是决定老品牌  订了四大件   还未开箱  期待安装,33
187,D**n,2025-07-06,V1S-G 28m³·min 星空灰色,好评好评，满意的，师傅很靠谱，准时来到，大热天，都不 yong 易，相信方太！,,好评好评，满意的，师傅很靠谱，准时来到，大热天，都不 yong 易，相信方太！,39
188,匿名买家,2025-06-18,V1S-G 28m³·min 星空灰色,买到了喜欢的产品，客服很热情专业，物流配送很快，方太产品值得信任。,,买到了喜欢的产品，客服很热情专业，物流配送很快，方太产品值得信任。,33
189,用**8,2025-05-29,V1S-G 28m³·min 星空灰色,"强调瞬间吸净油烟的能力，例如""爆炒时油烟刚起就被吸走，厨房空气始终保持清新""‌‌‌‌",,"强调瞬间吸净油烟的能力，例如""爆炒时油烟刚起就被吸走，厨房空气始终保持清新""‌‌‌‌",42
190,粉**雨,2025-03-31,V1S-G 28m³·min 星空灰色,是否易清洗：容易 声音大小：还好 配送准时：准时 产品很好，我很满意 ,,是否易清洗：容易 声音大小：还好 配送准时：准时 产品很好，我很满意,34
192,匿名买家,2025-05-30,V1S-G 28m³·min 星空灰色,精心挑选的品牌商品，物流超快，次日送达，尚未安装，相信品质没有问题，确认收货。,,精心挑选的品牌商品，物流超快，次日送达，尚未安装，相信品质没有问题，确认收货。,39
193,t**g,2025-07-01,V1S-G 28m³·min 星空灰色,配送准时：服务很好，安装师父很专业，产品也很好看，很喜欢 ,,配送准时：服务很好，安装师父很专业，产品也很好看，很喜欢,28
194,女**活,2025-07-08,V1S-G 28m³·min 星空灰色,安装好了，速度很快，油烟机比较小巧，跟燃气灶很配，买的联动的，希望好用,,安装好了，速度很快，油烟机比较小巧，跟燃气灶很配，买的联动的，希望好用,35
197,用**7,2025-07-31,V1S-G 28m³·min 星空灰色,618加上国补谁能忍住不下手，提前购置了电器，延迟一个月发货，期待安装效果,,618加上国补谁能忍住不下手，提前购置了电器，延迟一个月发货，期待安装效果,37
202,w**6,2025-04-26,V1S-G 28m³·min 星空灰色,安装很快，外观挺好，还没通电,,安装很快，外观挺好，还没通电,14
204,匿名买家,2025-03-07,V1S-G 28m³·min 星空灰色,配送和安装速度非常快，安装师傅作业时防护也很到位。 油烟机功率强大，自动档吸力最大，分贝大概在70左右，强档运转分贝在58左右，清洗方便。,,配送和安装速度非常快，安装师傅作业时防护也很到位。 油烟机功率强大，自动档吸力最大，分贝大概在70左右，强档运转分贝在58左右，清洗方便。,69
205,古***,2025-06-28,V1S-G 28m³·min 星空灰色,已安装整体效果很不错,,已安装整体效果很不错,10
206,远**群,2025-06-05,V1S-G 28m³·min 星空灰色,大品牌就是不一样，物流快，服务态度好，期待新房安装效果。,非常美观非常好用的一款抽油烟机。风力强劲，价格实惠。方太，值得信赖！,大品牌就是不一样，物流快，服务态度好，期待新房安装效果。 非常美观非常好用的一款抽油烟机。风力强劲，价格实惠。方太，值得信赖！,63
207,岚**辰,2024-12-18,V1S-G 28m³·min 星空灰色,油烟机灶具洗碗机全买了方太，期待安装效果！,宝贝收到了，买了很多装修房子用的，厨房全部选择了方太，产品值得信赖，这家商家的服务态度真是太棒了，员工们都很友好，让人感觉很舒服。,油烟机灶具洗碗机全买了方太，期待安装效果！ 宝贝收到了，买了很多装修房子用的，厨房全部选择了方太，产品值得信赖，这家商家的服务态度真是太棒了，员工们都很友好，让人感觉很舒服。,87
208,匿名买家,2025-03-29,V1S-G 28m³·min 星空灰色,安装好了，还没使用,,安装好了，还没使用,9
209,墨**图,2025-07-29,28m³·min 星空灰色 带其它配件,还没安装，相信质保。后续再来追评。,,还没安装，相信质保。后续再来追评。,17
210,红**蕉,2025-08-07,V1S-G 28m³·min 星空灰色,还没研究，但目前来看还不错,,还没研究，但目前来看还不错,13
213,w**6,2025-05-25,V1S-G 28m³·min 星空灰色,声音大小：适中 配送准时：准时 五星好评，比我原来的好太多，一挥手就能来，灯光炒菜够用，而且都不用开大灯很方便，安装师傅也很好，忘记给好评了，特别认真，接下来就看售后了，头一次用方太，好的开端 ,,声音大小：适中 配送准时：准时 五星好评，比我原来的好太多，一挥手就能来，灯光炒菜够用，而且都不用开大灯很方便，安装师傅也很好，忘记给好评了，特别认真，接下来就看售后了，头一次用方太，好的开端,96
214,办**具,2025-08-11,V1S-G 28m³·min 星空灰色,方太就是好，一分价钱一分货，买就对了，活动价格波动很小，送了止逆阀,,方太就是好，一分价钱一分货，买就对了，活动价格波动很小，送了止逆阀,33
217,独**的,2025-06-25,V1S-G 28m³·min 星空灰色,大品牌值得信赖，前面用的方太非常不错，卖家服务好发货快，赞一个。,,大品牌值得信赖，前面用的方太非常不错，卖家服务好发货快，赞一个。,32
218,匿名买家,2025-07-23,V1S-G 28m³·min 星空灰色,这次购买方太厨具的体验真的超出预期！从选款到下单，整个过程都特别顺畅，最想夸的就是客服小厉，不得不说，方太的产品让人放心，有小厉这样的客服更是加分，全程体验感拉满，真心推荐！ ,,这次购买方太厨具的体验真的超出预期！从选款到下单，整个过程都特别顺畅，最想夸的就是客服小厉，不得不说，方太的产品让人放心，有小厉这样的客服更是加分，全程体验感拉满，真心推荐！,87
219,用**2,2025-02-26,V1S-G 28m³·min 星空灰色,方便快捷，服务到家。,,方便快捷，服务到家。,10
220,B**1,2025-02-08,V1S-G 28m³·min 星空灰色,是否易清洗：是 完美契合，吸力也很大，这下可以放心爆炒了，离台面距离也足够，可以放心颠锅了，外观也很好看，喜欢喜欢 ,,是否易清洗：是 完美契合，吸力也很大，这下可以放心爆炒了，离台面距离也足够，可以放心颠锅了，外观也很好看，喜欢喜欢,57
221,鹦**2,2025-07-23,V1S-G 28m³·min 星空灰色,还没打开，等安装的时候再上图,,还没打开，等安装的时候再上图,14
222,t**3,2025-06-16,V1S-G 28m³·min 星空灰色,大品牌值得信任,,大品牌值得信任,7
224,用**4,2024-12-15,V1S-G 28m³·min 星空灰色,颜值高，质量好，吸油效果棒，值得购买！,,颜值高，质量好，吸油效果棒，值得购买！,19
225,凝***,2025-06-16,V1S-G 28m³·min 星空灰色,安装好了，用了两天吸力不错，安装师傅很专业，一个多小时就好了，和橱柜很贴合。橱柜是打好的买烟机前担心不合适大件退货麻烦，商家竟然说可以免费上门帮看，去看了可以安装果断下单，相信大品牌。,,安装好了，用了两天吸力不错，安装师傅很专业，一个多小时就好了，和橱柜很贴合。橱柜是打好的买烟机前担心不合适大件退货麻烦，商家竟然说可以免费上门帮看，去看了可以安装果断下单，相信大品牌。,92
227,匿名买家,2025-07-16,V1S-G 28m³·min 星空灰色,抽油烟机很好用，安装师傅很专业，售前客服小知沟通很顺畅。,,抽油烟机很好用，安装师傅很专业，售前客服小知沟通很顺畅。,28
228,万**吖,2025-06-30,V1S-G 28m³·min 星空灰色,在方太直播间拍的，发货很快，客户服务好，新房正装修看618活动又有国补，所以提前拍下，还没安装，看包装还可以，后期装上了再追评吧。,,在方太直播间拍的，发货很快，客户服务好，新房正装修看618活动又有国补，所以提前拍下，还没安装，看包装还可以，后期装上了再追评吧。,65
229,t**0,2025-06-23,V1S-G 28m³·min 星空灰色,方太油烟机非常好，我要的全套，还有灶,,方太油烟机非常好，我要的全套，还有灶,18
230,匿名买家,2025-05-19,V1S-G 28m³·min 星空灰色,商品做工很精细， 声音大小：也很小，下次还会购买 ,,商品做工很精细， 声音大小：也很小，下次还会购买,24
237,l**z,2025-06-10,V1S-G 28m³·min 星空灰色,师傅安装速度挺快的，新房还未入住，后续再来详评！,,师傅安装速度挺快的，新房还未入住，后续再来详评！,24
239,奢**果,2025-07-03,V1S-G 28m³·min 星空灰色,忘记拍安装王师傅照片了。谢谢王师傅给我装的又快又好。油烟机颜值高吸油烟效果非常好，喜欢,,忘记拍安装王师傅照片了。谢谢王师傅给我装的又快又好。油烟机颜值高吸油烟效果非常好，喜欢,43
242,匿名买家,2025-05-26,V1S-G 28m³·min 星空灰色,物流很快，包装完整。等待安装后的效果！ ,,物流很快，包装完整。等待安装后的效果！,19
244,新**弄,2025-06-30,V1S-G 28m³·min 星空灰色,这次新家装修厨房的都买的方太产品，碰上活动价格合适，产品力给力，方太值得信任！,,这次新家装修厨房的都买的方太产品，碰上活动价格合适，产品力给力，方太值得信任！,39
245,用**0,2024-12-18,V1S-G 28m³·min 星空灰色,发货真快，有活动先买来，等明年2- 3月份再安排安装，相信方太品牌,,发货真快，有活动先买来，等明年2- 3月份再安排安装，相信方太品牌,33
246,堕**战,2025-03-04,V1S-G 28m³·min 星空灰色,配送准时：准时到达，我是给新家买的，客服都非常棒，有问必答，开心，等以后入住再来追评 ,,配送准时：准时到达，我是给新家买的，客服都非常棒，有问必答，开心，等以后入住再来追评,42
247,K**m,2025-02-06,V1S-G 28m³·min 星空灰色,挺好用的，不跑烟,,挺好用的，不跑烟,8
249,匿名买家,2025-03-30,V1S-G 28m³·min 星空灰色,配送准时：厨房买的都是方太，大品牌有保障，高档大气上档次，发货快，物流快，服务好，颜值高，使用方便，怎么看都喜欢！ ,,配送准时：厨房买的都是方太，大品牌有保障，高档大气上档次，发货快，物流快，服务好，颜值高，使用方便，怎么看都喜欢！,57
250,匿名买家,2025-06-30,V1S-G 28m³·min 星空灰色,很大很重 过一个月再安装,,很大很重 过一个月再安装,12
251,快**?,2025-07-14,V1S-G 28m³·min 星空灰色,方太V1S-G是一款超强吸力的油烟机，适合敞开式厨房，零嵌入式的油烟机，整体外观大气上档次，对油烟机有品质要求的亲，可以像我一样选择这款大吸力的烟机。配上02-TEK20的燃气灶一起使用，简直是绝绝子,,方太V1S-G是一款超强吸力的油烟机，适合敞开式厨房，零嵌入式的油烟机，整体外观大气上档次，对油烟机有品质要求的亲，可以像我一样选择这款大吸力的烟机。配上02-TEK20的燃气灶一起使用，简直是绝绝子,100
253,买**乖,2024-12-12,V1S-G 28m³·min 星空灰色,售前售后都要表扬！方太还是有追求的。对得住大牌子的称呼,,售前售后都要表扬！方太还是有追求的。对得住大牌子的称呼,27
254,啊**卡,2025-01-28,V1S-G 28m³·min 星空灰色,是否易清洗：  声音大小：  配送准时：,,是否易清洗：  声音大小：  配送准时：,20
256,匿名买家,2025-05-17,V1S-G 28m³·min 星空灰色,物流配送很快。大品牌有保障，很放心。颜值高，高科技，厨房再也没有油烟了，很满意。,,物流配送很快。大品牌有保障，很放心。颜值高，高科技，厨房再也没有油烟了，很满意。,40
257,安**子,2025-03-14,V1S-G 28m³·min 星空灰色,家装备货中相信大品牌的力量家电一直用的这个牌子回头客多少次了安装使用后加评,,家装备货中相信大品牌的力量家电一直用的这个牌子回头客多少次了安装使用后加评,37
258,爱**1,2025-07-14,V1S-G 28m³·min 星空灰色,大牌子应该不错的，还没拆开，用了再追评,,大牌子应该不错的，还没拆开，用了再追评,19
259,用**2,2025-05-24,V1S-G 28m³·min 星空灰色,五星好评！谢谢！,,五星好评！谢谢！,8
260,匿名买家,2025-08-07,28m³·min 星空灰色 带其它配件,这款油烟机非常好，装上后厨房彻底无烟！,,这款油烟机非常好，装上后厨房彻底无烟！,19
261,w**6,2025-03-03,V1S-G 28m³·min 星空灰色,不点吵，其他还好。,,不点吵，其他还好。,9
262,爱**头,2025-06-15,V1S-G 28m³·min 星空灰色,送货上门及时。未拆箱，未安装,,送货上门及时。未拆箱，未安装,14
263,多**宝,2025-07-25,V1S-G 28m³·min 星空灰色,货完好无损收到，期待安装使用效果,,货完好无损收到，期待安装使用效果,16
264,J**a,2025-05-17,V1S-G 28m³·min 星空灰色,安装人员态度好，安装技术到位，没有额外费用，完全免费，装完后清理干净台面并试机，确保没问题后签字离开,,安装人员态度好，安装技术到位，没有额外费用，完全免费，装完后清理干净台面并试机，确保没问题后签字离开,50
265,匿名买家,2025-04-25,V1S-G 28m³·min 星空灰色,新旧更迭依然选择方太，外形小巧，吸力很大，即便下着大雨安装师傅依然准点上门服务，大赞，家人很满意！,,新旧更迭依然选择方太，外形小巧，吸力很大，即便下着大雨安装师傅依然准点上门服务，大赞，家人很满意！,49
267,匿名买家,2025-04-09,V1S-G 28m³·min 星空灰色,房子还没装修好，等安装完了再来评价,,房子还没装修好，等安装完了再来评价,17
270,匿名买家,2025-06-10,V1S-G 28m³·min 星空灰色,乘618抢购的，家里厨房都用的方太，老牌子，值得信赖,,乘618抢购的，家里厨房都用的方太，老牌子，值得信赖,26
271,可**鱼,2025-08-04,V1S-G 28m³·min 星空灰色,油烟机很不错，吸力很大，我家是开放式厨房，专门选的他们家，果然不负所望,,油烟机很不错，吸力很大，我家是开放式厨房，专门选的他们家，果然不负所望,35
272,匿名买家,2024-12-22,V1S-G 28m³·min 星空灰色,看这款每分钟的吸力大才买，刚安上还没用，所以吸烟效果待以后追评。不过颜值高，一挥手就自动关机，一点燃气灶就自动开机，烟机联动挺方便，感谢高科技给生活带来的便利。安装师傅专业、认真，打孔防止吊灰都采取了相应的措施，必须点个赞。,,看这款每分钟的吸力大才买，刚安上还没用，所以吸烟效果待以后追评。不过颜值高，一挥手就自动关机，一点燃气灶就自动开机，烟机联动挺方便，感谢高科技给生活带来的便利。安装师傅专业、认真，打孔防止吊灰都采取了相应的措施，必须点个赞。,112
273,匿名买家,2025-05-26,V1S-G 28m³·min 星空灰色,老房换油烟机，买前一直担心不好用，想买实体款，但实体款我家橱柜留白小了，装不下。 看参数这款比实体风量小一点，其它参数略逊实体款，款式和实体一样的，颜色不同，整体下来，性价比还是非常高的，开放式厨房，用着还可以，和十年前花4、5千的买的方太，效果差不多。   机身设计小巧，好清洁，吸烟效果可以，声音可以接受，正常范围吧，改天上图 。感谢厂家客服小徐耐心讲解,,老房换油烟机，买前一直担心不好用，想买实体款，但实体款我家橱柜留白小了，装不下。 看参数这款比实体风量小一点，其它参数略逊实体款，款式和实体一样的，颜色不同，整体下来，性价比还是非常高的，开放式厨房，用着还可以，和十年前花4、5千的买的方太，效果差不多。   机身设计小巧，好清洁，吸烟效果可以，声音可以接受，正常范围吧，改天上图 。感谢厂家客服小徐耐心讲解,179
275,用**4,2025-12-26,V1S-G+03-TEK20-G(灰) 天然气套装,还没开始使用，新家买的，双十一价格优惠，客服也有问必答，安装师傅也很好，整体满意,,还没开始使用，新家买的，双十一价格优惠，客服也有问必答，安装师傅也很好，整体满意,40
277,妞**8,2024-12-08,V1S-G 28m³·min 星空灰色,给妈妈买的，用了几天，她感觉很好！后续再看看效果。安装的师傅服务态度很好，但是快递员态度极差，还不送货上门，被我投诉了。,方太的产品质量还是很好，妈妈感觉用起很好！好评！相信方太，相信这个品牌！,给妈妈买的，用了几天，她感觉很好！后续再看看效果。安装的师傅服务态度很好，但是快递员态度极差，还不送货上门，被我投诉了。 方太的产品质量还是很好，妈妈感觉用起很好！好评！相信方太，相信这个品牌！,97
278,匿名买家,2025-03-31,V1S-G 28m³·min 星空灰色,机器好！服务好！值得购买！,,机器好！服务好！值得购买！,13
280,绿**4,2025-07-20,V1S-G 28m³·min 星空灰色,是否易清洗：很好清洗，抹布随便一抹就干净了 声音大小：声音很小很静音，静音效果非常好 配送准时：配送非常准时，而且安装师傅态度非常好 ,,是否易清洗：很好清洗，抹布随便一抹就干净了 声音大小：声音很小很静音，静音效果非常好 配送准时：配送非常准时，而且安装师傅态度非常好,66
281,C**2,2025-07-29,V1S-G 28m³·min 星空灰色,是否易清洗：是 ,,是否易清洗：是,7
283,爬**虫,2025-06-01,V1S-G 28m³·min 星空灰色,是否易清洗：擦一下就干净  声音大小：功率很大 炒菜没有油烟 声音正常大小  配送准时：配送很快 安装速度也很快 ,,是否易清洗：擦一下就干净  声音大小：功率很大 炒菜没有油烟 声音正常大小  配送准时：配送很快 安装速度也很快,56
284,快**家,2025-06-20,V1S-G 28m³·min 星空灰色,用了几天才来评价一下，排油烟效果老好了，开启方便。值得拥有。,,用了几天才来评价一下，排油烟效果老好了，开启方便。值得拥有。,30
285,c**2,2025-07-20,V1S-G 28m³·min 星空灰色,到货还没开箱，方太品牌值得信任~客服很好，根据需求推荐了这款油烟机煤气灶联动的，适合家里的老人使用，颜值也在线，很不错的~,,到货还没开箱，方太品牌值得信任~客服很好，根据需求推荐了这款油烟机煤气灶联动的，适合家里的老人使用，颜值也在线，很不错的~,61
287,s**w,2025-06-25,V1S-G 28m³·min 星空灰色,风力很大，吸油烟效果好,,风力很大，吸油烟效果好,11
288,匿名买家,2025-03-28,V1S-G 28m³·min 星空灰色,油烟机装好了，师傅服务态度挺好，油烟机就一言难尽了。当初客服极力推荐这款油烟机，家里置换前旧油烟机实况也拍给他看了，安装好后发现还得另配遮盖罩，一个铁皮壳350大元。关键是油烟机实在太响了，跟机车轰鸣声可以“相媲美”。总结，性价比低，不推荐购买。PS：如实评价，商家或许有诸多解释。,,油烟机装好了，师傅服务态度挺好，油烟机就一言难尽了。当初客服极力推荐这款油烟机，家里置换前旧油烟机实况也拍给他看了，安装好后发现还得另配遮盖罩，一个铁皮壳350大元。关键是油烟机实在太响了，跟机车轰鸣声可以“相媲美”。总结，性价比低，不推荐购买。PS：如实评价，商家或许有诸多解释。,141
289,唐**香,2025-05-31,V1S-G 28m³·min 星空灰色,还没拆包安装，但愿没翻车。,,还没拆包安装，但愿没翻车。,13
290,用**了,2025-07-18,V1S-G 28m³·min 星空灰色,三件都是买的他家的   方太售后服务还是可以的,,三件都是买的他家的   方太售后服务还是可以的,23
